Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2018-03-19,16.57,18.91,16.22,18.83
2018-03-20,18.83,20.95,17.8,20.21
2018-03-21,20.21,21.4,19.14,19.24
2018-03-22,19.24,20.6,18.37,19.53
2018-03-23,19.56,19.81,17.95,18.62
2018-03-24,18.63,19.32,18.35,18.48
2018-03-25,18.47,18.57,17.86,18.32
2018-03-26,18.32,18.38,15.39,15.61
2018-03-27,15.61,17.19,15.26,16.44
2018-03-28,16.44,16.79,15.7,15.96
2018-03-29,15.95,16.34,14.53,14.79
2018-03-30,14.82,15.21,13.81,14.53
2018-03-31,14.53,14.88,14.07,14.33
2018-04-01,14.33,14.51,13.08,13.65
2018-04-02,13.65,14.29,13.48,13.91
2018-04-03,13.91,15.21,13.89,15.07
2018-04-04,15.07,15.09,13.39,13.66
2018-04-05,13.66,13.72,13.17,13.53
2018-04-06,13.53,13.83,13.02,13.13
2018-04-07,13.13,13.83,13.03,13.64
2018-04-08,13.64,14.52,13.39,14.14
2018-04-09,14.14,14.52,13.28,13.53
2018-04-10,13.53,13.75,13.3,13.74
2018-04-11,13.74,14.1,13.6,14.02
2018-04-12,14.02,15.98,13.73,15.83
2018-04-13,15.85,16.76,15.59,15.86
2018-04-14,15.84,16.45,15.5,16.21
2018-04-15,16.21,16.94,16,16.7
2018-04-16,16.7,16.93,15.62,15.97
2018-04-17,15.97,16.85,15.94,16.16
2018-04-18,16.16,17.82,16.04,17.82
2018-04-19,17.86,18.38,17.49,18.23
2018-04-20,18.23,19.39,17.91,19.31
2018-04-21,19.27,19.99,17.54,18.46
2018-04-22,18.46,19.46,18.26,19.13
2018-04-23,19.13,20.89,18.64,20.44
2018-04-24,20.44,22.84,20.4,22.5
2018-04-25,22.5,22.85,18.1,19.72
2018-04-26,19.72,21.16,18.13,20.93
2018-04-27,20.94,21.96,20.05,20.45
2018-04-28,20.45,22.37,20.4,21.61
2018-04-29,21.62,22.35,20.37,21.71
2018-04-30,21.71,22.97,21.46,21.68
2018-05-01,21.68,21.79,20.43,21.34
2018-05-02,21.34,21.82,20.99,21.71
2018-05-03,21.73,23.49,21.46,22.92
2018-05-04,22.92,23.36,21.68,22.52
2018-05-05,22.52,23.21,22.32,22.67
2018-05-06,22.67,25.46,22.59,24.4
2018-05-07,24.4,25.7,22.36,23.48
2018-05-08,23.48,23.7,21.92,22.41
2018-05-09,22.41,22.63,20.18,21.37
2018-05-10,21.37,21.71,20.02,20.15
2018-05-11,20.16,20.27,16.95,17.51
2018-05-12,17.51,18.48,16.37,17.86
2018-05-13,17.86,19.07,17.67,18.74
2018-05-14,18.74,19.16,17.38,18.66
2018-05-15,18.66,19.88,18.17,18.3
2018-05-16,18.3,18.46,16.82,17.46
2018-05-17,17.46,18.31,17.13,17.13
2018-05-18,17.13,18.15,16.57,17.94
2018-05-19,17.94,18.08,17.45,17.5
2018-05-20,17.5,18.32,17.48,18.23
2018-05-21,18.23,18.27,17.42,17.63
2018-05-22,17.63,17.69,16.55,16.56
2018-05-23,16.56,16.56,14.48,15.27
2018-05-24,15.26,15.57,14.27,15.38
2018-05-25,15.38,15.74,14.82,14.9
2018-05-26,14.9,15.78,14.73,15.43
2018-05-27,15.42,15.43,14.94,15.06
2018-05-28,15.06,15.54,14.38,14.4
2018-05-29,14.4,15.48,14.12,15.32
2018-05-30,15.32,15.52,14.72,15.01
2018-05-31,15.01,15.54,15.01,15.38
2018-06-01,15.38,15.47,15.1,15.24
2018-06-02,15.24,16.13,15.23,15.82
2018-06-03,15.82,16.44,15.77,16.15
2018-06-04,16.15,16.36,15.08,15.28
2018-06-05,15.28,15.51,14.75,15.33
2018-06-06,15.33,15.63,14.91,15.25
2018-06-07,15.25,15.44,15.11,15.16
2018-06-08,15.16,15.63,15.08,15.49
2018-06-09,15.49,15.53,15.09,15.17
2018-06-10,15.17,15.17,12.03,12.21
2018-06-11,12.21,13,12.09,12.61
2018-06-12,12.62,16.27,12.61,14.65
2018-06-13,14.63,14.88,12.91,13.83
2018-06-14,13.81,14.32,13.13,14.08
2018-06-15,14.08,14.11,13.58,13.81
2018-06-16,13.81,14.82,13.59,14.56
2018-06-17,14.56,14.63,14.18,14.3
2018-06-18,14.3,15.58,14,15.14
